Station Name,Metro Line,Opened,Station Layout,Platform Layout
Adarsh Nagar,Yellow Line,04-Feb-09,Elevated,Side
AIIMS,Yellow Line,03-Sep-10,Underground,Island
Akshardham,Blue Line,12-Nov-09,Elevated,Side
Anand Vihar,Blue Line,06-Jan-10,Elevated,Side
Anand Vihar,Pink Line,31-Oct-18,Elevated,Side
Arjan Garh,Yellow Line,21-Jun-10,Elevated,Side
Arthala,Red Line,08-Mar-19,Elevated,Side
Ashok Park Main,Green Line,02-Apr-10,Elevated,Side
Ashram,Pink Line,31-Dec-18,Underground,Island
Azadpur,Yellow Line,04-Feb-09,Elevated,Side
Azadpur,Pink Line,14-Mar-18,Underground,Island
Badarpur Border,Violet Line,14-Jan-11,Elevated,Side
Badkhal Mor,Violet Line,06-Sep-15,Elevated,Side
Bahadurgarh City,Green Line,24-Jun-18,Elevated,Side
Barakhamba Road,Blue Line,30-Dec-05,Underground,Side
Bata Chowk,Violet Line,06-Sep-15,Elevated,Side
Bhikaji Cama Place,Pink Line,06-Aug-18,Underground,Island
Botanical Garden,Blue Line,12-Nov-09,Elevated,Side
Botanical Garden,Magenta Line,25-Dec-17,Elevated,Side
Brigadier Hoshiyar Singh,Green Line,24-Jun-18,Elevated,Side
Central Secretariat,Yellow Line,03-Jul-05,Underground,Side
Central Secretariat,Violet Line,03-Oct-10,Underground,Side
Chandni Chowk,Yellow Line,03-Jul-05,Underground,Island
Chawri Bazar,Yellow Line,03-Jul-05,Underground,Island
Chhatarpur,Yellow Line,26-Aug-10,Elevated,Side
Chirag Delhi,Magenta Line,29-May-18,Underground,Island
Civil Lines,Yellow Line,20-Dec-04,Underground,Side
Dabri Mor - Janakpuri South,Magenta Line,29-May-18,Underground,Island
Dashrath Puri,Magenta Line,29-May-18,Underground,Island
Delhi Aerocity,Airport Express,15-Aug-11,Underground,Side
Delhi Cantonment,Pink Line,14-Mar-18,Elevated,Side
Delhi Gate,Violet Line,28-May-17,Underground,Island
Dhansa Bus Stand,Grey Line,18-Sep-21,Underground,Side
Dhaula Kuan,Airport Express,15-Aug-11,Elevated,Side
Dilli Haat - INA,Yellow Line,03-Sep-10,Underground,Island
Dilli Haat - INA,Pink Line,06-Aug-18,Underground,Island
Dilshad Garden,Red Line,04-Jun-08,Elevated,Side
Durgabai Deshmukh South Campus,Pink Line,14-Mar-18,Elevated,Side
Dwarka,Blue Line,30-Dec-05,Elevated,Side
Dwarka,Grey Line,04-Oct-19,Elevated,Side
Dwarka Mor,Blue Line,30-Dec-05,Elevated,Side
Dwarka Sector 8,Blue Line,30-Oct-10,Elevated,Side
Dwarka Sector 9,Blue Line,01-Apr-06,Elevated,Side
Dwarka Sector 10,Blue Line,01-Apr-06,Elevated,Side
Dwarka Sector 11,Blue Line,01-Apr-06,Elevated,Side
Dwarka Sector 12,Blue Line,01-Apr-06,Elevated,Side
Dwarka Sector 13,Blue Line,01-Apr-06,Elevated,Side
Dwarka Sector 14,Blue Line,01-Apr-06,Elevated,Side
Dwarka Sector 21,Blue Line,30-Oct-10,Underground,Side
Dwarka Sector 21,Airport Express,23-Feb-11,Underground,Side
East Azad Nagar,Pink Line,31-Oct-18,Elevated,Side
East Vinod Nagar - Mayur Vihar-II,Pink Line,31-Oct-18,Elevated,Side
Escorts Mujesar,Violet Line,06-Sep-15,Elevated,Side
ESI - Basaidarapur,Pink Line,14-Mar-18,Elevated,Side
Ghevra,Green Line,24-Jun-18,Elevated,Side
Ghitorni,Yellow Line,21-Jun-10,Elevated,Side
Gokulpuri,Pink Line,31-Oct-18,Elevated,Side
Golf Course,Blue Line,12-Nov-09,Elevated,Side
Govindpuri,Violet Line,03-Oct-10,Elevated,Side
Greater Kailash,Magenta Line,29-May-18,Underground,Island
Green Park,Yellow Line,03-Sep-10,Underground,Island
GTB Nagar,Yellow Line,04-Feb-09,Underground,Side
Guru Dronacharya,Yellow Line,21-Jun-10,Elevated,Side
Haiderpur Badli Mor,Yellow Line,10-Nov-15,Elevated,Island
Harkesh Nagar Okhla,Violet Line,03-Oct-10,Elevated,Side
Hauz Khas,Yellow Line,03-Sep-10,Underground,Island
Hauz Khas,Magenta Line,29-May-18,Underground,Island
Hindon River,Red Line,08-Mar-19,Elevated,Side
HUDA City Centre,Yellow Line,21-Jun-10,Elevated,Side
IFFCO Chowk,Yellow Line,21-Jun-10,Elevated,Side
IIT Delhi,Magenta Line,29-May-18,Underground,Island
Inderlok,Red Line,03-Oct-03,Elevated,Side
Inderlok,Green Line,02-Apr-10,Elevated,Island
Indira Gandhi International Airport,Airport Express,23-Feb-11,Underground,Island
Indraprastha,Blue Line,11-Nov-06,Elevated,Side
