route_id,service_type,trip_id,shape_id
0,1,0,shp_1_30
0,1,1,shp_1_30
0,1,10,shp_1_30
0,1,100,shp_1_30
2,1,1000,shp_1_13
19,0,10000,shp_1_33
19,0,10001,shp_1_33
19,0,10002,shp_1_33
19,0,10003,shp_1_33
19,0,10004,shp_1_33
19,0,10005,shp_1_33
19,0,10006,shp_1_33
19,0,10007,shp_1_33
19,0,10008,shp_1_33
19,0,10009,shp_1_33
2,1,1001,shp_1_13
19,0,10010,shp_1_33
19,0,10011,shp_1_33
19,0,10012,shp_1_33
19,0,10013,shp_1_33
19,0,10014,shp_1_33
19,0,10015,shp_1_33
19,0,10016,shp_1_33
19,0,10017,shp_1_33
19,0,10018,shp_1_33
19,0,10019,shp_1_33
2,1,1002,shp_1_13
19,0,10020,shp_1_33
19,0,10021,shp_1_33
19,0,10022,shp_1_33
19,0,10023,shp_1_33
19,0,10024,shp_1_33
19,0,10025,shp_1_33
19,0,10026,shp_1_33
19,0,10027,shp_1_33
19,0,10028,shp_1_33
19,0,10029,shp_1_33
2,1,1003,shp_1_13
19,0,10030,shp_1_33
19,0,10031,shp_1_33
19,0,10032,shp_1_33
19,0,10033,shp_1_33
19,0,10034,shp_1_33
19,0,10035,shp_1_33
19,0,10036,shp_1_33
19,0,10037,shp_1_33
19,0,10038,shp_1_33
19,0,10039,shp_1_33
2,1,1004,shp_1_13
19,0,10040,shp_1_33
19,0,10041,shp_1_33
19,0,10042,shp_1_33
19,0,10043,shp_1_33
19,0,10044,shp_1_33
19,0,10045,shp_1_33
19,0,10046,shp_1_33
19,0,10047,shp_1_33
19,0,10048,shp_1_33
19,0,10049,shp_1_33
2,1,1005,shp_1_13
19,0,10050,shp_1_33
19,0,10051,shp_1_33
19,0,10052,shp_1_33
19,0,10053,shp_1_33
19,0,10054,shp_1_33
19,0,10055,shp_1_33
19,0,10056,shp_1_33
19,0,10057,shp_1_33
19,0,10058,shp_1_33
2,1,1006,shp_1_13
2,1,1007,shp_1_13
2,1,1008,shp_1_13
2,1,1009,shp_1_13
0,1,101,shp_1_30
2,1,1010,shp_1_13
2,1,1011,shp_1_13
2,1,1012,shp_1_13
2,1,1013,shp_1_13
2,1,1014,shp_1_13
2,1,1015,shp_1_13
2,1,1016,shp_1_13
2,1,1017,shp_1_13
2,1,1018,shp_1_13
20,1,10186,shp_1_31
20,1,10187,shp_1_31
20,1,10188,shp_1_31
20,1,10189,shp_1_31
2,1,1019,shp_1_13
20,1,10190,shp_1_31
20,1,10191,shp_1_31
20,1,10192,shp_1_31
20,1,10193,shp_1_31
20,1,10194,shp_1_31
20,1,10195,shp_1_31
20,1,10196,shp_1_31
20,1,10197,shp_1_31
20,1,10198,shp_1_31
20,1,10199,shp_1_31
0,1,102,shp_1_30
2,1,1020,shp_1_13
20,1,10200,shp_1_31
20,1,10201,shp_1_31
20,1,10202,shp_1_31
20,1,10203,shp_1_31
20,1,10204,shp_1_31
20,1,10205,shp_1_31
20,1,10206,shp_1_31
20,1,10207,shp_1_31
20,1,10208,shp_1_31
20,1,10209,shp_1_31
2,1,1021,shp_1_13
20,1,10210,shp_1_31
20,1,10211,shp_1_31
20,1,10212,shp_1_31
20,1,10213,shp_1_31
20,1,10214,shp_1_31
20,1,10215,shp_1_31
20,1,10216,shp_1_31
20,1,10217,shp_1_31
20,1,10218,shp_1_31
20,1,10219,shp_1_31
2,1,1022,shp_1_13
20,1,10220,shp_1_31
20,1,10221,shp_1_31
20,1,10222,shp_1_31
20,1,10223,shp_1_31
20,1,10224,shp_1_31
20,1,10225,shp_1_31
20,1,10226,shp_1_31
20,1,10227,shp_1_31
20,1,10228,shp_1_31
20,1,10229,shp_1_31
2,1,1023,shp_1_13
20,1,10230,shp_1_31
20,1,10231,shp_1_31
20,1,10232,shp_1_31
20,1,10233,shp_1_31
20,1,10234,shp_1_31
20,1,10235,shp_1_31
20,1,10236,shp_1_31
20,1,10237,shp_1_31
20,1,10238,shp_1_31
20,1,10239,shp_1_31
2,1,1024,shp_1_13
20,1,10240,shp_1_31
20,1,10241,shp_1_31
