station_id,station_name,metro_line,routes,latitude,longitude,station_type,station_node
21,Rithala,Red Line,"[0, 1, 18, 19]",28.720821,77.105042,Terminal,A1
20,Rohini West,Red Line,"[0, 1, 18, 19]",28.715008,77.115746,Normal,A2
19,Rohini East,Red Line,"[0, 1, 18, 19]",28.707941,77.125732,Normal,A3
18,Pitampura,Red Line,"[0, 1, 18, 19]",28.70318,77.132355,Normal,A4
17,Kohat Enclave,Red Line,"[0, 1, 18, 19]",28.697943,77.140465,Normal,A5
16,Netaji Subash Place,Red Line,"[0, 1, 11, 18, 19, 29]",28.695637,77.152428,Interchange,A6
15,Keshav Puram,Red Line,"[0, 1, 18, 19]",28.688944,77.161774,Normal,A7
14,Kanhaiya Nagar,Red Line,"[0, 1, 18, 19]",28.682386,77.162552,Normal,A8
13,Inderlok,Red Line,"[0, 1, 8, 18, 19, 26]",28.673452,77.170235,Terminal/Interchange,A9
12,Shastri Nagar,Red Line,"[0, 1, 18, 19]",28.670135,77.181679,Normal,A10
11,Pratap Nagar,Red Line,"[0, 1, 18, 19]",28.666632,77.196869,Normal,A11
10,Pulbangash,Red Line,"[0, 1, 18, 19]",28.66571,77.206329,Normal,A12
9,Tis Hazari,Red Line,"[0, 1, 18, 19]",28.667137,77.216721,Normal,A13
8,Kashmere Gate,Red Line,"[0, 1, 2, 3, 9, 10, 18, 19, 20, 21, 27, 28]",28.667879,77.228012,Terminal/Interchange,A14
7,Shastri Park,Red Line,"[0, 1, 18, 19]",28.668451,77.250404,Normal,A15
6,Seelampur,Red Line,"[0, 1, 18, 19]",28.670324,77.267311,Normal,A16
5,Welcome,Red Line,"[0, 1, 11, 18, 19, 29]",28.671986,77.277931,Interchange,A17
4,Shahdara,Red Line,"[0, 1, 18, 19]",28.673531,77.28727,Normal,A18
3,Mansrover park,Red Line,"[0, 1, 18, 19]",28.675352,77.301178,Normal,A19
2,Jhilmil,Red Line,"[0, 1, 18, 19]",28.675648,77.312393,Normal,A20
1,Dilshad Garden,Red Line,"[0, 1, 18, 19]",28.675991,77.321495,Terminal,A21
232,Shaheed Nagar,Red Line,"[1, 19]",28.676615,77.333809,Normal,A22
231,Raj Bagh,Red Line,"[1, 19]",28.677122,77.346466,Normal,A23
230,Major Mohit Sharma Rajender Nagar,Red Line,"[1, 19]",28.678095,77.359528,Normal,A24
229,Shyam Park,Red Line,"[1, 19]",28.678217,77.370911,Normal,A25
228,Mohan Nagar,Red Line,"[1, 19]",28.67856,77.384209,Normal,A26
227,Arthala,Red Line,"[1, 19]",28.6772,77.391876,Normal,A27
226,Hindon River,Red Line,"[1, 19]",28.673508,77.40654,Normal,A28
225,Shaheed Sthal (New Bus Adda),Red Line,"[1, 19]",28.670177,77.416031,Terminal,A29
71,Millenium City Centre Gurugram,Yellow Line,"[2, 4, 20, 22]",28.459118,77.072586,Terminal,B37
70,IFFCO Chowk,Yellow Line,"[2, 4, 20, 22]",28.472137,77.072502,Normal,B36
69,MG Road,Yellow Line,"[2, 4, 20, 22]",28.47967,77.080444,Normal,B35
68,Sikanderpur,Yellow Line,"[33, 2, 4, 15, 20, 22]",28.481352,77.092995,Interchange,B34
67,Gurudronacharya,Yellow Line,"[2, 4, 20, 22]",28.482075,77.102219,Normal,B33
66,Arjan Garh,Yellow Line,"[2, 4, 20, 22]",28.48082,77.12587,Normal,B32
65,Ghitorni,Yellow Line,"[2, 4, 20, 22]",28.49383,77.149071,Normal,B31
64,Sultanpur,Yellow Line,"[2, 4, 20, 22]",28.499214,77.161362,Normal,B30
63,Chhattarpur,Yellow Line,"[2, 4, 20, 22]",28.506584,77.174866,Normal,B29
62,Qutab Minar,Yellow Line,"[2, 3, 4, 20, 21, 22]",28.512714,77.185791,Terminal,B28
61,Saket,Yellow Line,"[2, 3, 20, 21]",28.520638,77.199379,Normal,B27
60,Malviya Nagar,Yellow Line,"[2, 3, 20, 21]",28.52817,77.205612,Normal,B26
59,Hauz Khas,Yellow Line,"[2, 3, 12, 20, 21, 30]",28.543346,77.206673,Interchange,B25
58,Green Park,Yellow Line,"[2, 3, 20, 21]",28.559853,77.206902,Normal,B24
57,AIIMS,Yellow Line,"[2, 3, 20, 21]",28.568199,77.207947,Normal,B23
56,Dilli Haat - INA,Yellow Line,"[2, 3, 11, 20, 21, 29]",28.575195,77.209473,Interchange,B22
55,Jorbagh,Yellow Line,"[2, 3, 20, 21]",28.587234,77.212662,Normal,B21
54,Lok Kalyan Marg,Yellow Line,"[2, 3, 20, 21]",28.597519,77.209122,Normal,B20
53,Udyog Bhawan,Yellow Line,"[2, 3, 20, 21]",28.611525,77.210052,Normal,B19
52,Central Secretariat,Yellow Line,"[2, 3, 9, 10, 20, 21, 27, 28]",28.614973,77.212029,Interchange,B18
51,Patel Chowk,Yellow Line,"[2, 3, 20, 21]",28.622967,77.212288,Normal,B17
50,Rajiv Chowk,Yellow Line,"[2, 3, 5, 6, 20, 21, 23, 24]",28.632896,77.219574,Interchange,B16
49,New Delhi,Yellow Line,"[32, 2, 3, 14, 20, 21]",28.642944,77.222351,Terminal/Interchange,B15
48,Chawri Bazar,Yellow Line,"[2, 3, 20, 21]",28.649635,77.22628,Normal,B14
47,Chandni Chowk,Yellow Line,"[2, 3, 20, 21]",28.656443,77.229218,Normal,B13
8,Kashmere Gate,Yellow Line,"[0, 1, 2, 3, 9, 10, 18, 19, 20, 21, 27, 28]",28.667879,77.228012,Terminal/Interchange,B12
46,Civil Lines,Yellow Line,"[2, 3, 20, 21]",28.676945,77.224953,Normal,B11
45,Vidhan Sabha,Yellow Line,"[2, 3, 20, 21]",28.687845,77.221626,Normal,B10
44,Vishwavidyalaya,Yellow Line,"[2, 3, 20, 21]",28.694765,77.212418,Terminal,B9
43,Guru Tegh Bahadur Nagar,Yellow Line,"[2, 20]",28.698195,77.206985,Normal,B8
42,Model Town,Yellow Line,"[2, 20]",28.702833,77.193764,Normal,B7
41,Azadpur,Yellow Line,"[2, 11, 20, 29]",28.707287,77.179863,Interchange,B6
40,Adarsh Nagar,Yellow Line,"[2, 20]",28.696377,77.208809,Normal,B5
39,Jahangirpuri,Yellow Line,"[2, 20]",28.72818,77.16124,Normal,B4
38,Haiderpur Badli Mor,Yellow Line,"[2, 20]",28.718657,77.149956,Normal,B3
37,Rohini Sector 18-19,Yellow Line,"[2, 20]",28.740192,77.135574,Normal,B2
36,Samaypur Badli,Yellow Line,"[2, 20]",28.742872,77.146545,Terminal,B1
121,Dwarka Sector - 21,Blue Line,"[32, 5, 6, 14, 23, 24]",28.552322,77.056198,Terminal/Interchange,C1
120,Dwarka Sector - 8,Blue Line,"[24, 5, 6, 23]",28.565706,77.064896,Normal,C2
119,Dwarka Sector - 9,Blue Line,"[24, 5, 6, 23]",28.574284,77.065086,Normal,C3
118,Dwarka Sector - 10,Blue Line,"[24, 5, 6, 23]",28.581108,77.05719,Normal,C4
117,Dwarka Sector - 11,Blue Line,"[24, 5, 6, 23]",28.58642,77.049255,Normal,C5
116,Dwarka Sector - 12,Blue Line,"[24, 5, 6, 23]",28.592234,77.040558,Normal,C6
115,Dwarka Sector - 13,Blue Line,"[24, 5, 6, 23]",28.59705,77.033043,Normal,C7
114,Dwarka Sector - 14,Blue Line,"[24, 5, 6, 23]",28.602232,77.02594,Normal,C8
113,Dwarka,Blue Line,"[5, 6, 13, 23, 24, 31]",28.614899,77.022629,Terminal/Interchange,C9
112,Dwarka Mor,Blue Line,"[24, 5, 6, 23]",28.619366,77.033188,Normal,C10
111,Nawada,Blue Line,"[24, 5, 6, 23]",28.620222,77.044991,Normal,C11
110,Uttam Nagar West,Blue Line,"[24, 5, 6, 23]",28.621672,77.055664,Normal,C12
109,Uttam Nagar East,Blue Line,"[24, 5, 6, 23]",28.624643,77.063126,Normal,C13
108,Janak Puri West,Blue Line,"[5, 6, 12, 23, 24, 30]",28.629637,77.077866,Terminal/Interchange,C14
107,Janak Puri East,Blue Line,"[24, 5, 6, 23]",28.633121,77.086578,Normal,C15
106,Tilak Nagar,Blue Line,"[24, 5, 6, 23]",28.636568,77.096336,Normal,C16
105,Subash Nagar,Blue Line,"[24, 5, 6, 23]",28.640381,77.10273,Normal,C17
104,Tagore Garden,Blue Line,"[24, 5, 6, 23]",28.643795,77.112747,Normal,C18
103,Rajouri Garden,Blue Line,"[5, 6, 11, 23, 24, 29]",28.649157,77.122749,Interchange,C19
102,Ramesh Nagar,Blue Line,"[24, 5, 6, 23]",28.652809,77.131462,Normal,C20
101,Moti Nagar,Blue Line,"[24, 5, 6, 23]",28.657803,77.140488,Normal,C21
100,Kirti Nagar,Blue Line,"[5, 6, 7, 23, 24, 25]",28.655773,77.148499,Terminal/Interchange,C22
99,Shadipur,Blue Line,"[24, 5, 6, 23]",28.65143,77.156021,Normal,C23
98,Patel Nagar,Blue Line,"[24, 5, 6, 23]",28.645037,77.167046,Normal,C24
97,Rajendra Place,Blue Line,"[24, 5, 6, 23]",28.64241,77.191833,Normal,C25
96,Karol Bagh,Blue Line,"[24, 5, 6, 23]",28.643925,77.188416,Normal,C26
95,Jhandewalan,Blue Line,"[24, 5, 6, 23]",28.644312,77.199791,Normal,C27
94,RK Ashram Marg,Blue Line,"[24, 5, 6, 23]",28.639217,77.206291,Normal,C28
50,Rajiv Chowk,Blue Line,"[2, 3, 5, 6, 20, 21, 23, 24]",28.632896,77.219574,Interchange,C29
93,Barakhamba,Blue Line,"[24, 5, 6, 23]",28.629662,77.224876,Normal,C30
92,Mandi House,Blue Line,"[5, 6, 9, 10, 23, 24, 27, 28]",28.625816,77.234726,Interchange,C31
91,Supreme Court,Blue Line,"[24, 5, 6, 23]",28.623438,77.2425,Normal,C32
90,Indraprastha,Blue Line,"[24, 5, 6, 23]",28.620272,77.250076,Normal,C33
89,Yamuna Bank,Blue Line,"[24, 5, 6, 23]",28.623178,77.267937,Normal,C34
