Line,Stations,Length (km),Terminal A,Terminal B,Opening Date,Phase
Red Line,3,2.86,Shahdara,Dilshad Garden,4 June 2008,Phase II
Yellow Line,5,6.38,Vishwavidyalaya,Jahangirpuri,4 February 2009,Phase II
Yellow Line,9,15.82,Millenium City Centre,Qutab Minar,21 June 2010,Phase II
Yellow Line,1,15.82,Chhatarpur,Chhatarpur,26 August 2010,Phase II
Yellow Line,9,11.76,Qutab Minar,Central Secretariat,3 September 2010,Phase II
Blue Line,1,2.17,Indraprastha,Yamuna Bank,10 May 2009,Phase II
Blue Line,10,12.85,Yamuna Bank,Noida City Centre,12 November 2009,Phase II
Blue Line,2,2.28,Dwarka Sector 9,Dwarka Sector 21,30 October 2010,Phase II
Blue Line Branch,6,6.25,Yamuna Bank,Anand Vihar,6 January 2010,Phase II
Blue Line Branch,2,2.26,Anand Vihar,Vaishali,14 July 2011,Phase II
Green Line,14,14.19,Inderlok,Mundka,3 April 2010,Phase II
Green Line,2,3.41,Ashok Park Main,Kirti Nagar,27 August 2011,Phase II
Violet Line,13,15.34,Central Secretariat,Sarita Vihar,3 October 2010,Phase II
Violet Line,3,4.82,Sarita Vihar,Badarpur Border,14 January 2011,Phase II
Airport Express,4,22.91,New Delhi,Dwarka Sector 21,23 February 2011,Phase II
Airport Express,2,22.91,Dhaula Kuan & Delhi Aerocity,Dhaula Kuan & Delhi Aerocity,15 August 2011,Phase II
Total,86,123.3,,,,Phase II
